Vname,UpName,Vlong,Source,Uptime,UpID,VID,RelatedVs,newDayviews,Sales,Price,Commission,TotalLikes,TotalComments,Changerate,PLink
爱汇吉（AIHUIJI） 影楼用拉线眉笔 黑色棕色眉笔咖色灰色一字眉持久易上色不易晕染 01号黑色,八岁?美妆造型师,27,京东,2019-07-18 18:35:15,59939447563,6714656295242222852,0,-1,19,19.90,1.99,24760,557,2.25%,https://item.m.jd.com/product/1805244060.html
美康粉黛 远山眉黛笔(砍刀眉笔细 防水 防汗 不晕染 不脱色 自然持久 一字眉 初学者 纤细) 远山黛灰,石斛姑娘【上山村】,70,京东,2019-09-05 10:01:33,111631345466,6732997663878302990,0,-7,63,28.00,5.60,46736,2180,4.66%,https://u.jd.com/1RZJEW
颜九的口红店Ukiss平价正品哑光雾面口红学生款悠珂思保湿滋润,认真少女_颜九,43,淘宝,2018-06-02 12:05:54,58651677044,6562333508474244365,0,-7,616,44.00,0.00,50377,1858,3.69%,https://s.click.taobao.com/t?e=m%3D2%26s%3DdyjDkQWeljkcQipKwQzePOeEDrYVVa64XoO8tOebS%2BdRAdhuF14FMbpFHz%2BOp71A79%2FTFaMDK6TE%2F4soL29Fve%2BN8KS0hXPyk6PbCF7o52yaVVqsODJfAotgwMO1YqTJ4q%2BRXokHRqtJj8mT44MdBHQC%2B2qnp67EgQ375PBbUS97ZuhJ5YhiERIjP5Uhv22U84BktJJ%2FGHIMjUFwzNCTVthHXoWup6v%2F1JztS5T9N8Z040xTe74sItAtu5t0lvo341YlJTA1HMO9KzILw1MW6qJn5AyUbPoV
沙宣专研型护系列造型卸妆洗发水500ML,新加坡小蛙,50,京东,2019-09-15 17:52:49,60910487078,6736833011100159246,0,-24,1299,139.00,0.14,20381,397,1.95%,https://u.jd.com/5I1DiH
瑜然美大瓶氨基酸洗面奶女男卸妆泡沫控油温和深层清洁毛孔洁面乳,又有好物推荐啊,7,淘宝,2019-08-01 13:02:31,86305517088,6720042151515933964,8,-41,4726,39.90,14.37,1949,112,5.75%,https://s.click.taobao.com/t?e=m%3D2%26s%3D6LcYt05lpINw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMUWkW1AO4hDDJ1gyddu7kN9PUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMiJkjrlY8V2MXWDGeVF6qBAtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6O22OajL%2FOxeygvKUxAbmFVm%2FAqrVg3iolmYKmPQjlXgib4FRL6yn47QLQtqj2NQCM7Qq3IsVviSLpPcC%2BjxcBwIYULNg46oBA%3D&union_lens=lensId:0b57bdf0_0c47_16ebf90877f_7e23&xId=eq6tq4oc8pAHESBOFXC7D2MSN4XgyX5vmAiqebOSF1XT2AFZlEQuh75BKkJewieO5Zb77vV2m4EaZr0TwKM9j0&union_lens=lensId:0b1b469b_0d11_16ebf908781_3cee
"贝玲妃（Benefit） 精雕细琢自动眉笔 0.08g, 3# 浅色",李濠pe7er,20,京东,2019-07-24 12:49:01,58529920833,6716892926087073027,3,-508,19,225.00,13.50,5006,83,1.66%,https://item.m.jd.com/product/10549968303.html
BLD贝览得唇刷伸缩女便携式口红刷彩妆化妆刷颜九推荐口红刷,二喵果酱,49,淘宝,2019-07-08 15:10:01,64511499102,6710898969108565252,5,30,2181,29.00,1.17,4988,103,2.06%,https://s.click.taobao.com/t?e=m%3D2%26s%3Dtmyl%2BuAEKLtw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMbU3PwrUwN5GJ1gyddu7kN9PUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMbNyCYoYCgsfCD%2B6XOtnLvAtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6PV31NI0JUrywnrOIjenMUgm%2FAqrVg3iolmYKmPQjlXgib4FRL6yn47QLQtqj2NQCM7Qq3IsVviSLpPcC%2BjxcBwIYULNg46oBA%3D&union_lens=lensId:0b17774d_0bdd_16ebf8ae201_2b65&xId=JhIt0awKYbH5rJszmqqBkARpytjuyH4W1plzzyqYFGdgWtzEMcHEizgdUTFWgX5SmLvezAA683vHUo9hOaj0X2&union_lens=lensId:0bb39b78_0c3e_16ebf8ae1ff_282a
ILISYA柔色新款水滴口红 持久滋润保湿不易脱色咬唇妆口红,宝宝成长记,24,抖音小店,2019-09-25 18:56:26,59041649690,6740560257380060419,83,20,4139,49.00,14.70,961,7,0.73%,https://haohuo.jinritemai.com/views/product/item2?id=3275410949418426909&origin_type=2002001000&origin_id=6740560257380060419_3296194096456299577&alkey=1128_99514375927_6740560257380060419_3296194096456299577_011
千纤草丝瓜保湿卸妆水脸部清洁温和眼唇脸三合一卸妆液卸妆乳油,心灵化妆师CC,59,淘宝,2019-09-01 11:02:53,91584431487,6731532176459894023,4,15,2343,34.90,0.03,21298,160,0.75%,https://s.click.taobao.com/t?e=m%3D2%26s%3DrkmkBrRnJhZw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMZ%2B3gdNeJBPjt4hWD5k2kjNPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrM4kMxV1gFxiZEuCikgdx34Iwe6%2FtGg2%2FRSyiL934V8t7Ny6VfD8aHxLEoVIzS8fnbYdyU0PFrMcTvacJw2MhnQthHXoWup6v%2F1JztS5T9N8Z040xTe74sItAtu5t0lvo341YlJTA1HMO9KzILw1MW6qJn5AyUbPoV&union_lens=lensId:0b1545dd_0c7b_16ebfa998ae_05ab&xId=iaXe9zXXpX8ufJzdRiJxCuUvCcSKvxPb24rrHYttXcD6RtMs6DHD50WUiJBf1sZdwOD4Xt2VE2Lbh0D0e6K4AM&union_lens=lensId:0bb39b78_0c3e_16ebfa998ae_ab28
【小钢笔唇釉】小钢笔印迹唇釉口红（哑光唇釉 持久显色）,王大盒的摄像老师,59,唯品会,2019-09-03 17:29:32,619751797425799,6732373986107329803,0,0,93702,129.00,3.87,25088,482,1.92%,https://m.vip.com/public/go.html?pid=2160454086&source=douyin&stat_param=FfxZhxmwZSdyT2X5dh_IfTTNo8-xlAbEfjyJmi1Lkvw_1
稚优泉（CHIOTURE） 粉色之恋口红不易掉色不易沾杯补水保湿润唇膏西柚姨妈色 19奶茶色,璇子Zoey,31,京东,2019-08-01 19:55:24,109003566792,6720135556514336013,0,0,91,59.90,0.60,5378,824,15.32%,https://item.m.jd.com/product/10040312828.html
卡姿兰自然塑形眉笔 超细笔头 防水防汗持久不晕染初学者（灰色 棕色） 01#浅咖啡,爱分享的关关,19,京东,2019-08-10 12:39:13,68126335875,6722998411391438087,0,0,7,39.00,5.80,651,13,2.00%,https://item.m.jd.com/product/24430691650.html
ZFC 名师微雕塑形砍刀眉笔显色一字眉不易晕染自然眉笔 01红棕色,瑞琪化妆造型,28,京东,2019-08-30 19:44:48,88000631896,6730924503792209159,0,0,42,69.00,17.70,44,3,6.82%,https://u.jd.com/UiMdx6
稚优泉（CHIOTURE）柔雾哑光口红郑爽同款持久显色滋润保湿南瓜胡萝卜苹果红豆沙色雾面唇膏女 M01奶油杏（南瓜色）,微观小卡,59,京东,2019-07-30 18:52:47,2554883790607223,6719295999371660552,1,0,684,69.90,9.98,1501,30,2.00%,https://item.m.jd.com/product/31769851387.html
完美日记 倾色慕光唇膏小黑钻 口红不显唇纹持久显色滋润朱正廷同款 208 佳人绝色（樱桃色）热卖,是一只九龄,9,京东,2019-07-17 11:14:27,63159042369,6714211906690895108,0,0,6823,69.90,6.45,10379,406,3.91%,https://item.m.jd.com/product/31860084032.html
The Saem/得鲜按钮按压哑光口红 持久易上色 M03,娇爷欢乐喜剧人,59,抖音小店,2018-05-07 19:20:26,58943188923,6552797301495041283,0,0,2,49.00,10.78,32708,1079,3.30%,https://haohuo.jinritemai.com/views/product/item2?id=3278406759982738909&origin_type=2002001000&origin_id=6552797301495041283_3279360049440676039&alkey=1128_99514375927_6552797301495041283_3279360049440676039_011
爱汇吉（AIHUIJI） 影楼用拉线眉笔 黑色棕色眉笔咖色灰色一字眉持久易上色不易晕染 01号黑色,八岁?美妆造型师,27,京东,2019-07-18 18:35:15,59939447563,6714656295242222852,0,-1,19,19.90,1.99,24760,557,2.25%,https://item.m.jd.com/product/1805244060.html
美康粉黛 远山眉黛笔(砍刀眉笔细 防水 防汗 不晕染 不脱色 自然持久 一字眉 初学者 纤细) 远山黛灰,石斛姑娘【上山村】,70,京东,2019-09-05 10:01:33,111631345466,6732997663878302990,0,-7,63,28.00,5.60,46736,2180,4.66%,https://u.jd.com/1RZJEW
颜九的口红店Ukiss平价正品哑光雾面口红学生款悠珂思保湿滋润,认真少女_颜九,43,淘宝,2018-06-02 12:05:54,58651677044,6562333508474244365,0,-7,616,44.00,0.00,50377,1858,3.69%,https://s.click.taobao.com/t?e=m%3D2%26s%3DdyjDkQWeljkcQipKwQzePOeEDrYVVa64XoO8tOebS%2BdRAdhuF14FMbpFHz%2BOp71A79%2FTFaMDK6TE%2F4soL29Fve%2BN8KS0hXPyk6PbCF7o52yaVVqsODJfAotgwMO1YqTJ4q%2BRXokHRqtJj8mT44MdBHQC%2B2qnp67EgQ375PBbUS97ZuhJ5YhiERIjP5Uhv22U84BktJJ%2FGHIMjUFwzNCTVthHXoWup6v%2F1JztS5T9N8Z040xTe74sItAtu5t0lvo341YlJTA1HMO9KzILw1MW6qJn5AyUbPoV
沙宣专研型护系列造型卸妆洗发水500ML,新加坡小蛙,50,京东,2019-09-15 17:52:49,60910487078,6736833011100159246,0,-24,1299,139.00,0.14,20381,397,1.95%,https://u.jd.com/5I1DiH
瑜然美大瓶氨基酸洗面奶女男卸妆泡沫控油温和深层清洁毛孔洁面乳,又有好物推荐啊,7,淘宝,2019-08-01 13:02:31,86305517088,6720042151515933964,8,-41,4726,39.90,14.37,1949,112,5.75%,https://s.click.taobao.com/t?e=m%3D2%26s%3D6LcYt05lpINw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMUWkW1AO4hDDJ1gyddu7kN9PUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMiJkjrlY8V2MXWDGeVF6qBAtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6O22OajL%2FOxeygvKUxAbmFVm%2FAqrVg3iolmYKmPQjlXgib4FRL6yn47QLQtqj2NQCM7Qq3IsVviSLpPcC%2BjxcBwIYULNg46oBA%3D&union_lens=lensId:0b57bdf0_0c47_16ebf90877f_7e23&xId=eq6tq4oc8pAHESBOFXC7D2MSN4XgyX5vmAiqebOSF1XT2AFZlEQuh75BKkJewieO5Zb77vV2m4EaZr0TwKM9j0&union_lens=lensId:0b1b469b_0d11_16ebf908781_3cee
"贝玲妃（Benefit） 精雕细琢自动眉笔 0.08g, 3# 浅色",李濠pe7er,20,京东,2019-07-24 12:49:01,58529920833,6716892926087073027,3,-508,19,225.00,13.50,5006,83,1.66%,https://item.m.jd.com/product/10549968303.html
